ProfileID,Age,Gender,Region,EducationLevel,FieldOfStudy,ExperienceYears,YearsSinceGraduation,DigitalSkillLevel,EnglishLevel,CurrentEmploymentStatus,DesiredIndustry,PreferredJobType,TechnicalSkills,SoftSkills,CertificationsCount
1,23,Male,Tabora,Vocational/Technical,Business,0,1,Medium,Intermediate,Informal work,Manufacturing,Office,"Data analysis, Digital marketing","Adaptability, Leadership",2
2,23,Female,Shinyanga,Secondary,Finance,2,3,Low,Basic,Internship,Tourism,Customer-facing,"Microsoft Office, Graphic design, Accounting","Problem solving, Critical thinking",0
3,25,Female,Simiyu,Secondary,Information Technology,0,6,Medium,Advanced,Full-time,Banking,Field,"Digital marketing, Programming (Python), Customer service, English communication","Adaptability, Problem solving",1
4,19,Male,Kilimanjaro,Higher Diploma,Logistics,0,1,Medium,Intermediate,Full-time,Manufacturing,Field,"Customer service, Mechanical maintenance, Web development, Network support","Leadership, Adaptability, Creativity",2
5,24,Male,Pwani,Higher Diploma,Health,1,5,Medium,Intermediate,Informal work,Healthcare,Field,"Microsoft Office, Customer service, Logistics coordination","Customer focus, Critical thinking, Leadership",1
6,20,Female,Katavi,Higher Diploma,Information Technology,0,0,High,Basic,Full-time,ICT,Remote,"Network support, Web development, Inventory management","Leadership, Communication, Problem solving",2
7,25,Male,Pemba South,Secondary,Information Technology,4,4,Low,Intermediate,Self-employed,Construction,Field,"Database management, Mechanical maintenance","Customer focus, Creativity",1
8,25,Female,Kigoma,Bachelor,Business,1,4,High,Advanced,Informal work,Manufacturing,Office,"Logistics coordination, Microsoft Office","Resilience, Leadership",0
9,23,Male,Kilimanjaro,Diploma,Agriculture,2,3,Medium,Intermediate,Self-employed,Education,Remote,"Data analysis, Food preparation, Logistics coordination","Customer focus, Adaptability",0
10,19,Female,Mbeya,Bachelor,Education,0,1,Medium,Basic,Part-time,Transport,Field,"Food preparation, Teaching support, Quality control, Customer service","Critical thinking, Adaptability, Problem solving",0
11,18,Male,Songwe,Higher Diploma,Agriculture,0,0,Medium,Basic,Informal work,Education,Field,"Logistics coordination, Web development","Critical thinking, Teamwork",1
12,26,Male,Morogoro,Secondary,Finance,1,8,High,Advanced,Informal work,Manufacturing,Field,"Social media management, Quality control","Adaptability, Critical thinking, Communication",0
13,27,Male,Dodoma,Vocational/Technical,Hospitality,7,8,High,Basic,Informal work,ICT,Remote,"Accounting, Programming (Python), Food preparation, Quality control","Communication, Leadership",0
14,21,Male,Singida,Higher Diploma,Finance,1,1,High,Advanced,Unemployed,ICT,Remote,"Digital marketing, Social media management, Inventory management, Accounting","Adaptability, Creativity, Customer focus",1
15,18,Female,Shinyanga,Bachelor,Business,0,0,Medium,Intermediate,Self-employed,Transport,Field,"Project management, Microsoft Office, Database management, Digital marketing","Creativity, Time management",0
16,25,Female,Pwani,Higher Diploma,Health,4,8,Low,Basic,Informal work,Construction,Remote,"Logistics coordination, Microsoft Office","Time management, Adaptability, Creativity",1
17,23,Male,Rukwa,Higher Diploma,Logistics,3,5,Low,Basic,Unemployed,Agriculture,Customer-facing,"Web development, Logistics coordination","Leadership, Communication, Problem solving",0
18,29,Male,Songwe,Bachelor,Engineering,8,9,High,Basic,Unemployed,Trade,Customer-facing,"Customer service, Sales","Leadership, Critical thinking, Teamwork",3
19,28,Female,Mbeya,Bachelor,Finance,0,0,Medium,Basic,Informal work,Education,Customer-facing,"Sales, Network support","Resilience, Adaptability",1
20,22,Female,Dar es Salaam,Bachelor,Agriculture,0,1,High,Basic,Unemployed,Manufacturing,Customer-facing,"Inventory management, Network support, Logistics coordination","Communication, Problem solving, Time management",0
21,21,Male,Tanga,Diploma,Finance,0,3,Medium,Intermediate,Unemployed,Tourism,Remote,"Logistics coordination, Graphic design, Database management, Social media management","Creativity, Customer focus",2
22,22,Female,Mwanza,Secondary,Health,3,5,Medium,Intermediate,Full-time,Education,Office,"Network support, Mechanical maintenance, English communication, Teaching support","Time management, Customer focus",1
23,21,Male,Mwanza,Secondary,Education,0,1,High,Intermediate,Full-time,Manufacturing,Field,"English communication, Customer service, Graphic design, Microsoft Office","Communication, Adaptability",3
24,24,Male,Mwanza,Bachelor,Engineering,3,3,Medium,Basic,Full-time,Trade,Remote,"Customer service, Mechanical maintenance, Inventory management","Communication, Leadership, Adaptability",3
25,24,Female,Mwanza,Bachelor,Agriculture,3,5,Medium,Intermediate,Part-time,Transport,Office,"Quality control, Web development","Adaptability, Time management, Resilience",2
26,19,Male,Zanzibar South,Diploma,Education,0,0,Medium,Advanced,Self-employed,Agriculture,Field,"Microsoft Office, Graphic design, Digital marketing","Critical thinking, Creativity, Resilience",1
27,19,Female,Tanga,Bachelor,Engineering,0,0,Medium,Advanced,Unemployed,Tourism,Office,"Logistics coordination, Customer service, Quality control, Food preparation","Critical thinking, Resilience, Communication",1
28,26,Female,Mara,Bachelor,Information Technology,2,2,Medium,Advanced,Full-time,Trade,Remote,"Social media management, Microsoft Office, Web development, Mechanical maintenance","Time management, Critical thinking",1
29,23,Male,Kilimanjaro,Diploma,Engineering,3,6,High,Basic,Self-employed,Transport,Remote,"Customer service, Digital marketing, Programming (Python)","Adaptability, Customer focus",2
30,20,Male,Dodoma,Secondary,Hospitality,0,0,Medium,Basic,Unemployed,ICT,Remote,"English communication, Sales","Time management, Critical thinking",1
31,22,Female,Simiyu,Higher Diploma,Health,2,2,Medium,Basic,Informal work,Trade,Customer-facing,"Social media management, Database management, Digital marketing, Inventory management","Communication, Critical thinking, Resilience",0
32,19,Male,Katavi,Diploma,Health,0,1,Medium,Advanced,Unemployed,Transport,Office,"Social media management, Food preparation, Project management","Adaptability, Problem solving, Time management",3
33,19,Female,Rukwa,Vocational/Technical,Arts,1,1,High,Basic,Internship,Banking,Customer-facing,"Project management, Logistics coordination, Data analysis, Inventory management","Problem solving, Adaptability",2
34,21,Female,Lindi,Diploma,Finance,3,3,Low,Basic,Unemployed,Education,Customer-facing,"Food preparation, Database management, Quality control, Inventory management","Critical thinking, Leadership, Creativity",1
35,23,Male,Lindi,Higher Diploma,Logistics,0,0,High,Intermediate,Unemployed,ICT,Customer-facing,"Graphic design, English communication","Creativity, Teamwork",1
36,24,Female,Geita,Bachelor,Agriculture,1,4,Medium,Intermediate,Self-employed,Trade,Customer-facing,"Quality control, Web development, Accounting","Communication, Time management",3
37,22,Male,Shinyanga,No formal qualification,Agriculture,0,0,High,Intermediate,Unemployed,Education,Remote,"Social media management, Customer service, Inventory management, Network support","Resilience, Time management, Critical thinking",1
38,24,Female,Tabora,Bachelor,Finance,1,3,High,Basic,Unemployed,Transport,Remote,"Data analysis, Social media management","Customer focus, Resilience, Time management",0
39,22,Female,Mwanza,Diploma,Agriculture,2,2,Medium,Advanced,Unemployed,Manufacturing,Field,"Microsoft Office, Project management, Teaching support, Digital marketing","Teamwork, Time management",1
40,20,Male,Katavi,Secondary,Finance,2,2,Medium,Basic,Full-time,Healthcare,Remote,"Programming (Python), Social media management, Accounting, Project management","Problem solving, Adaptability",3
41,19,Female,Mtwara,Higher Diploma,Health,2,2,Medium,Basic,Informal work,Tourism,Office,"Quality control, Database management","Creativity, Customer focus, Problem solving",2
42,21,Female,Simiyu,Vocational/Technical,Health,0,3,Medium,Basic,Unemployed,Tourism,Remote,"Logistics coordination, Web development, Social media management, Programming (Python)","Leadership, Creativity",2
43,23,Male,Simiyu,Secondary,Engineering,1,2,Low,Intermediate,Self-employed,ICT,Field,"Mechanical maintenance, English communication, Logistics coordination, Data analysis","Problem solving, Adaptability, Customer focus",1
44,21,Male,Songwe,Secondary,Agriculture,2,2,Medium,Intermediate,Part-time,Healthcare,Field,"Logistics coordination, Microsoft Office, Network support","Customer focus, Leadership",2
45,22,Female,Songwe,Secondary,Arts,2,4,Low,Basic,Unemployed,ICT,Office,"Web development, Logistics coordination","Creativity, Customer focus, Critical thinking",1
46,28,Female,Geita,Bachelor,Business,3,3,High,Intermediate,Self-employed,Healthcare,Office,"Microsoft Office, Quality control, Programming (Python)","Leadership, Creativity",2
47,23,Male,Simiyu,Higher Diploma,Finance,5,6,Low,Basic,Internship,Construction,Customer-facing,"Network support, Digital marketing, Accounting, Teaching support","Resilience, Leadership, Communication",2
48,23,Female,Mtwara,Bachelor,Engineering,0,5,Medium,Basic,Full-time,Manufacturing,Office,"English communication, Data analysis","Creativity, Communication",1
49,23,Male,Dodoma,Diploma,Health,0,1,High,Intermediate,Part-time,Education,Office,"Microsoft Office, Customer service, Web development, Project management","Time management, Communication, Resilience",3
